2007-07-18 18:13:48,156  WARN (ParseSrcVisitor.java:115) - Parent object is found as null for java.awt.geom.PathIterator
2007-07-18 18:13:48,187  WARN (ParseSrcVisitor.java:147) - Failed to get equivalent method declaration att.grappa.Lexer,retreat()  ReturnType:void for class: att.grappa.Lexer
2007-07-18 18:13:48,187  WARN (ParseSrcVisitor.java:147) - Failed to get equivalent method declaration att.grappa.Lexer,emit_error(String)  ReturnType:void for class: att.grappa.Lexer
2007-07-18 18:13:48,187  WARN (ParseSrcVisitor.java:147) - Failed to get equivalent method declaration att.grappa.Lexer,emit_warn(String)  ReturnType:void for class: att.grappa.Lexer
2007-07-18 18:13:48,203  WARN (ParseSrcVisitor.java:147) - Failed to get equivalent method declaration att.grappa.Lexer,find_single_char(int)  ReturnType:int for class: att.grappa.Lexer
2007-07-18 18:13:48,203  WARN (ParseSrcVisitor.java:147) - Failed to get equivalent method declaration att.grappa.Lexer,swallow_comment()  ReturnType:void for class: att.grappa.Lexer
2007-07-18 18:13:48,203  WARN (ParseSrcVisitor.java:147) - Failed to get equivalent method declaration att.grappa.Lexer,do_quote_string()  ReturnType:Symbol for class: att.grappa.Lexer
2007-07-18 18:13:48,203  WARN (ParseSrcVisitor.java:147) - Failed to get equivalent method declaration att.grappa.Lexer,do_html_string()  ReturnType:Symbol for class: att.grappa.Lexer
2007-07-18 18:13:48,203  WARN (ParseSrcVisitor.java:147) - Failed to get equivalent method declaration att.grappa.Lexer,do_id()  ReturnType:Symbol for class: att.grappa.Lexer
2007-07-18 18:13:48,203  WARN (ParseSrcVisitor.java:147) - Failed to get equivalent method declaration att.grappa.Lexer,real_next_token()  ReturnType:Symbol for class: att.grappa.Lexer
2007-07-18 18:13:48,203  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for att.grappa.Lexer,real_next_token()  ReturnType: for class: att.grappa.Lexer
2007-07-18 18:13:48,203  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for att.grappa.Lexer,real_next_token()  ReturnType: for class: att.grappa.Lexer
2007-07-18 18:13:48,218  WARN (ParseSrcVisitor.java:87) - Parent object is found as null for java.awt.geom.Dimension2D
2007-07-18 18:13:48,218  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for att.grappa.GrappaSupport,arrayForTuple(java.lang.String)  ReturnType: for class: att.grappa.GrappaSupport
2007-07-18 18:13:48,218  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for att.grappa.GrappaSupportPrintf,sprintf(java.lang.Object[])  ReturnType: for class: att.grappa.GrappaSupportPrintf
2007-07-18 18:13:48,250  WARN (ParseSrcVisitor.java:87) - Parent object is found as null for java.awt.geom.Rectangle2D.Double
2007-07-18 18:13:48,250  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for att.grappa.GrappaSupport,arrayForTuple(java.lang.String)  ReturnType: for class: att.grappa.GrappaSupport
2007-07-18 18:13:48,250  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for att.grappa.GrappaSupportPrintf,sprintf(java.lang.Object[])  ReturnType: for class: att.grappa.GrappaSupportPrintf
2007-07-18 18:13:48,656  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for att.grappa.GrappaColor,doAddColor(java.lang.String,java.awt.Color)  ReturnType: for class: att.grappa.GrappaColor
2007-07-18 18:13:48,656  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for att.grappa.GrappaColor,doAddColor(java.lang.String,java.awt.Color)  ReturnType: for class: att.grappa.GrappaColor
2007-07-18 18:13:48,656  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for att.grappa.GrappaColor,doAddColor(java.lang.String,java.awt.Color,boolean)  ReturnType: for class: att.grappa.GrappaColor
2007-07-18 18:13:48,656  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for att.grappa.GrappaColor,doAddColor(java.lang.String,java.awt.Color,boolean)  ReturnType: for class: att.grappa.GrappaColor
2007-07-18 18:13:48,656  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for att.grappa.GrappaColor,doAddColor(java.lang.String,java.awt.Color,boolean)  ReturnType: for class: att.grappa.GrappaColor
2007-07-18 18:13:48,656  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for att.grappa.GrappaColor,doAddColor(java.lang.String,java.awt.Color,boolean)  ReturnType: for class: att.grappa.GrappaColor
2007-07-18 18:13:48,656  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for att.grappa.GrappaColor,doAddColor(java.lang.String,java.awt.Color)  ReturnType: for class: att.grappa.GrappaColor
2007-07-18 18:13:48,656  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for att.grappa.GrappaColor,doAddColor(java.lang.String,java.awt.Color,boolean)  ReturnType: for class: att.grappa.GrappaColor
2007-07-18 18:13:48,656  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for att.grappa.GrappaColor,doAddColor(java.lang.String,java.awt.Color,boolean)  ReturnType: for class: att.grappa.GrappaColor
2007-07-18 18:13:48,656  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for att.grappa.GrappaColor,doAddColor(java.lang.String,java.awt.Color,boolean)  ReturnType: for class: att.grappa.GrappaColor
2007-07-18 18:13:48,656  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for att.grappa.GrappaColor,doAddColor(java.lang.String,java.awt.Color,boolean)  ReturnType: for class: att.grappa.GrappaColor
2007-07-18 18:13:48,671  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for att.grappa.GrappaColor,doAddColor(java.lang.String,java.awt.Color)  ReturnType: for class: att.grappa.GrappaColor
2007-07-18 18:13:48,671  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for att.grappa.GrappaColor,doAddColor(java.lang.String,java.awt.Color,boolean)  ReturnType: for class: att.grappa.GrappaColor
2007-07-18 18:13:48,671  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for att.grappa.GrappaColor,doAddColor(java.lang.String,java.awt.Color,boolean)  ReturnType: for class: att.grappa.GrappaColor
