2007-07-18 19:42:14,796  WARN (ParseSrcVisitor.java:87) - Parent object is found as null for java.awt.Canvas
2007-07-18 19:42:14,859  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for junit.awtui.ProgressBar,setSize(int,int)  ReturnType: for class: junit.awtui.ProgressBar
2007-07-18 19:42:14,859  WARN (ParseSrcVisitor.java:147) - Failed to get equivalent method declaration junit.awtui.ProgressBar,getStatusColor()  ReturnType:Color for class: junit.awtui.ProgressBar
2007-07-18 19:42:14,875  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for junit.awtui.ProgressBar,getBounds()  ReturnType: for class: junit.awtui.ProgressBar
2007-07-18 19:42:14,875  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for junit.awtui.ProgressBar,getStatusColor()  ReturnType: for class: junit.awtui.ProgressBar
2007-07-18 19:42:14,875  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for junit.awtui.ProgressBar,getBounds()  ReturnType: for class: junit.awtui.ProgressBar
2007-07-18 19:42:14,890  WARN (ParseSrcVisitor.java:147) - Failed to get equivalent method declaration junit.awtui.ProgressBar,paintStep(int,int)  ReturnType:void for class: junit.awtui.ProgressBar
2007-07-18 19:42:14,890  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for junit.awtui.ProgressBar,getGraphics()  ReturnType: for class: junit.awtui.ProgressBar
2007-07-18 19:42:14,890  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for junit.awtui.ProgressBar,getBounds()  ReturnType: for class: junit.awtui.ProgressBar
2007-07-18 19:42:14,890  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for junit.awtui.ProgressBar,paintStep(int,int)  ReturnType: for class: junit.awtui.ProgressBar
2007-07-18 19:42:14,921  WARN (ParseSrcVisitor.java:87) - Parent object is found as null for java.awt.Dialog
2007-07-18 19:42:14,937  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for junit.awtui.AboutDialog,setResizable(boolean)  ReturnType: for class: junit.awtui.AboutDialog
2007-07-18 19:42:14,937  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for junit.awtui.AboutDialog,setLayout(java.awt.GridBagLayout)  ReturnType: for class: junit.awtui.AboutDialog
2007-07-18 19:42:14,937  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for junit.awtui.AboutDialog,setSize(int,int)  ReturnType: for class: junit.awtui.AboutDialog
2007-07-18 19:42:14,937  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for junit.awtui.AboutDialog,setTitle(java.lang.String)  ReturnType: for class: junit.awtui.AboutDialog
2007-07-18 19:42:14,937  WARN (ParseSrcVisitor.java:147) - Failed to get equivalent method declaration junit.awtui.AboutDialog,actionPerformed(ActionEvent)  ReturnType:void for class: junit.awtui.AboutDialog
2007-07-18 19:42:14,937  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for junit.awtui.AboutDialog,add(java.awt.Label,java.awt.GridBagConstraints)  ReturnType: for class: junit.awtui.AboutDialog
2007-07-18 19:42:14,937  WARN (ParseSrcVisitor.java:202) - Failed to get equivalent method declaration for junit.awtui.AboutDialog,add(java.awt.Label,java.awt.GridBagConstraints)  ReturnType: for class: junit.awtui.AboutDialog
