subject,Jung,OpenJGraph,JGrapht,Grappa
0.5,6.781359714,6.06608919,2,3.906890596
1,6.832890014,4.459431619,2.321928095,2.584962501
1.584962501,5.977279923,3,0,0.5
2,6.06608919,2.584962501,0,2
2.321928095,4.754887502,2,0,2
2.584962501,5.285402219,2.321928095,0,2.584962501
2.807354922,3.584962501,1,0,1
3,4.392317423,0,0,0.5
3.169925001,3.169925001,0,0,0.5
3.321928095,4,0,0,0
3.459431619,2.584962501,0,0,1
3.584962501,3.807354922,0,0,1
3.700439718,2.321928095,0,0,1
3.807354922,2.584962501,0,0,0
3.906890596,2.584962501,0,0,0
4,3.169925001,1.584962501,0,0
4.087462841,1.584962501,0,0,0
4.169925001,2,0.5,0,0
4.247927513,0,0,0,0
4.321928095,2,0,0,0
4.392317423,0.5,0,0,0
4.459431619,1,0,0,0
4.523561956,1,0,0,0
4.584962501,1,0,0,0
4.64385619,1,0,0,0
4.700439718,0.5,0,0,0
4.754887502,0.5,0,0,0
4.807354922,2,0,0,0
4.857980995,0,0,0,0
4.906890596,0,0,0,0
4.95419631,0,0,0,0
5,0,0,0,0
5.044394119,0.5,0,0,0
5.087462841,0,0,0,0
5.129283017,0.5,0,0,0
5.169925001,0.5,0,0,0
5.209453366,1,0,0,0
5.247927513,0,0,0,0
5.285402219,0.5,0,0,0
5.321928095,0,0,0,0
5.357552005,0.5,0,0,0
5.392317423,0,0.5,0,0
5.426264755,0,0,0,0
5.459431619,0,0,0,0
5.491853096,0.5,0,0,0
5.523561956,0,0,0,0
5.554588852,0,0,0,0
5.584962501,0,0,0,0
5.614709844,0,0,0,0
5.64385619,0.5,0,0,0
5.672425342,0,0,0,0
5.700439718,0,0,0,0
5.727920455,0,0,0,0
5.754887502,0,0,0,0
5.781359714,0,0,0,0
5.807354922,0.5,0,0,0
5.832890014,0,0,0,0
5.857980995,0,0,0,0
5.882643049,0.5,0,0,0
5.906890596,0,0,0,0
5.930737338,0,0,0,0
5.95419631,0,0,0,0
5.977279923,0,0,0,0
6,0,0,0,0
6.022367813,0,0,0,0
6.044394119,0,0,0,0
6.06608919,0,0,0,0
6.087462841,0,0,0,0
6.108524457,0,0,0,0
6.129283017,0,0,0,0
6.14974712,0,0,0,0
6.169925001,0,0,0,0
6.189824559,0,0,0,0
6.209453366,0,0,0,0
6.22881869,0,0,0,0
6.247927513,0.5,0,0,0
6.266786541,0,0,0,0
6.285402219,0,0,0,0
6.303780748,0.5,0,0,0
6.321928095,0,0,0,0
6.339850003,0.5,0,0,0
6.357552005,0,0,0,0
6.375039431,0,0,0,0
6.392317423,0,0,0,0
6.409390936,0,0,0,0
6.426264755,0,0,0,0
6.442943496,0,0,0,0
6.459431619,0,0,0,0
6.475733431,0,0,0,0
6.491853096,0,0,0,0
6.50779464,0,0,0,0
6.523561956,0,0,0,0
6.539158811,0,0,0,0
6.554588852,0,0,0,0
6.569855608,0,0,0,0
6.584962501,0,0,0,0
6.599912842,0,0,0,0
6.614709844,0,0,0,0
6.62935662,0,0,0,0
6.64385619,0,0,0,0
6.658211483,0,0,0,0
6.672425342,0,0,0,0
6.686500527,0,0,0,0
6.700439718,0,0,0,0
6.714245518,0,0,0,0
6.727920455,0,0,0,0
6.741466986,0,0,0,0
6.754887502,0,0,0,0
6.768184325,0,0,0,0
6.781359714,0,0,0,0
6.794415866,0,0,0,0
6.807354922,0,0,0,0
6.820178962,0,0,0,0
6.832890014,0,0,0,0
6.845490051,0,0,0,0
6.857980995,0,0,0,0
6.87036472,0,0,0,0
6.882643049,0,0,0,0
6.894817763,0,0,0,0
6.906890596,0,0,0,0
6.918863237,0,0,0,0
6.930737338,0,0,0,0
6.942514505,0,0,0,0
6.95419631,0,0,0,0
6.965784285,0,0,0,0
6.977279923,0,0,0,0
6.988684687,0.5,0,0,0
