Filename,Method,Violated API,Violation Pattern,Missing condition,Support,Balanced,SpecialFlg, SortingSupport, MID,Comments
SimpleStringTest.java,testSplitmanyDelimeters,"java.util.Iterator,next()","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#",0.975060344,0,2,0.975060344,7945,
JAASSecurityManagerTest.java,login,"java.util.Iterator,next()","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#",0.975060344,0,2,0.975060344,7945,
PagingStoreImpl.java,start,"java.util.List,size()","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.793621004,0,2,0.793621004,9332,
QueueControlImpl.java,listScheduledMessages,"java.util.List,size()","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.793621004,0,2,0.793621004,9332,
QueueControlImpl.java,sendMessagesToDeadLetterAddress,"java.util.List,size()","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.793621004,0,2,0.793621004,9332,
QueueControlImpl.java,listMessages,"java.util.List,size()","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.793621004,0,2,0.793621004,9332,
ExampleLoginModule.java,login,"java.util.Iterator,next()","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#",0.975060344,0,2,0.975060344,7945,
ConnectionManagerImpl.java,reattachSessions,"java.util.List,size()","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.793621004,0,2,0.793621004,9332,
ClusterTestBase.java,getReceivedOrder,"java.util.List,size()","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.793621004,0,2,0.793621004,9332,
JMSPriorityHeaderTest.java,testSimple,"java.util.List,size()","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.793621004,0,2,0.793621004,9332,
QueueControlImpl.java,countMessages,"java.util.List,size()","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.793621004,0,2,0.793621004,9332,
SimpleStringTest.java,testStartsWith,"java.util.Iterator,next()","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#",0.975060344,0,2,0.975060344,7945,
SimpleStringTest.java,testUnicodeWithSurrogates,"java.util.Iterator,next()","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#",0.975060344,0,2,0.975060344,7945,
XAwithJTAExample.java,runExample,"javax.transaction.TransactionManager,getTransaction()","javax.transaction.TransactionManager,getTransaction()#RETURN_PATTERNS#NULL_CHECK#(1)&&","javax.transaction.TransactionManager,getTransaction()#RETURN_PATTERNS#NULL_CHECK#",0.529999971,0,2,0.529999971,8871,
SimpleStringTest.java,testSplit1Delimeter,"java.util.Iterator,next()","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#",0.975060344,0,2,0.975060344,7945,
ConcurrentHashSetTest.java,testRemove,"java.util.Iterator,next()","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#",0.975060344,0,2,0.975060344,7945,
QueueControlImpl.java,changeMessagesPriority,"java.util.List,size()","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.793621004,0,2,0.793621004,9332,
MessageCounterHelper.java,listMessageCounterHistory,"java.util.List,get(int)","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(0)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.71867615,0,2,0.71867615,9335,
MessageCounterHelper.java,listMessageCounterHistory,"java.util.List,size()","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.793621004,0,2,0.793621004,9332,
JMSBridgeTest.java,testPropertiesPreservedPoff,"java.util.List,get(int)","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(0)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.71867615,0,2,0.71867615,9335,
ClientSessionImpl.java,recover,"java.util.List,size()","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(1)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.793621004,0,2,0.793621004,9332,
SimpleStringTest.java,testSizeofString,"java.util.Iterator,next()","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#",0.975060344,0,2,0.975060344,7945,
SimpleStringTest.java,testHashcode,"java.util.Iterator,next()","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#(0)&&","java.util.Iterator,hasNext()#RETURN_PATTERNS#TRUE_FALSE_CHECK#",0.975060344,0,2,0.975060344,7945,
JMSBridgeTest.java,testPropertiesPreservedPOn,"java.util.List,get(int)","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#(0)&&","java.util.List,size()#RETURN_PATTERNS#GEN_EQUALITY_CHECK#",0.71867615,0,2,0.71867615,9335,
