$$ Transaction 0 $$
[Average Response Time: 29.667286157608032] [Total:1]
[com.ibm.websphere.samples.plantsbywebspherewar.ShoppingServlet] [doGet] [Average Execution Time:29.66729] 
[com.ibm.websphere.samples.plantsbywebspherewar.ShoppingServlet] [performTask] [Average Execution Time:29.66722] 
[com.ibm.websphere.samples.plantsbywebsphereejb.Util] [debug] [Average Execution Time:0.00004] 
[com.ibm.websphere.samples.plantsbywebsphereejb._CatalogHome_Stub] [create] [Average Execution Time:0.0758] 
[com.ibm.websphere.samples.plantsbywebsphereejb._CatalogHome_Stub] [class$] [Average Execution Time:0.00022] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessCatalogHome_751217f6_Tie] [getTarget] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSRemoteStatelessCatalogHome_751217f6] [create] [Average Execution Time:0.07347] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSStatelessCatalogHomeBean_751217f6] [create] [Average Execution Time:0.06557] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSRemoteStatelessCatalog_751217f6] [-init-] [Average Execution Time:0.00007] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessCatalog_751217f6_Tie] [-clinit-] [Average Execution Time:0.00029] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessCatalog_751217f6_Tie] [-init-] [Average Execution Time:0.00007] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessCatalog_751217f6_Tie] [thisObject] [Average Execution Time:0.00003] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessCatalog_751217f6_Tie] [_ids] [Average Execution Time:0.00003] 
[com.ibm.websphere.samples.plantsbywebsphereejb._Catalog_Stub] [-clinit-] [Average Execution Time:0.00017] 
[com.ibm.websphere.samples.plantsbywebsphereejb._Catalog_Stub] [-init-] [Average Execution Time:0.00006] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessCatalog_751217f6_Tie] [thisObject] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessCatalog_751217f6_Tie] [thisObject] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessCatalog_751217f6_Tie] [setTarget] [Average Execution Time:0.00003] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessCatalog_751217f6_Tie] [_ids] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessCatalog_751217f6_Tie] [thisObject] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessCatalog_751217f6_Tie] [getTarget] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessCatalog_751217f6_Tie] [_set_delegate] [Average Execution Time:0.00007] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessCatalog_751217f6_Tie] [orb] [Average Execution Time:0.00003] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessCatalog_751217f6_Tie] [thisObject] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb._Catalog_Stub] [getItemsByCategory] [Average Execution Time:19.3101] 
[com.ibm.websphere.samples.plantsbywebsphereejb._Catalog_Stub] [class$] [Average Execution Time:0.00009] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessCatalog_751217f6_Tie] [getTarget] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSRemoteStatelessCatalog_751217f6] [getItemsByCategory] [Average Execution Time:18.97645] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CatalogBean] [-init-] [Average Execution Time:0.00003] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CatalogBean] [setSessionContext] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CatalogBean] [ejbCreate] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CatalogBean] [getItemsByCategory] [Average Execution Time:18.86156] 
[com.ibm.websphere.samples.plantsbywebsphereejb.Util] [getEJBLocalHome] [Average Execution Time:1.06377] 
[com.ibm.websphere.samples.plantsbywebsphereejb.Util] [getInitialContext] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [-init-] [Average Execution Time:0.08544] 
[com.ibm.websphere.samples.plantsbywebsphereejb.InventoryBean] [-init-] [Average Execution Time:0.00018] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [getNumberOfFields] [Average Execution Time:0.00004] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSCMPInventoryHomeBean_53081ec0] [-init-] [Average Execution Time:0.00005] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSLocalCMPInventoryHome_53081ec0] [-init-] [Average Execution Time:0.00006] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSLocalCMPInventoryHome_53081ec0] [findByCategory] [Average Execution Time:15.66276] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSCMPInventoryHomeBean_53081ec0] [findByCategory_Local] [Average Execution Time:15.66144] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [-init-] [Average Execution Time:0.00011] 
[com.ibm.websphere.samples.plantsbywebsphereejb.InventoryBean] [-init-] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [getNumberOfFields] [Average Execution Time:0.00002] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [setEntityContext] [Average Execution Time:0.00374] 
[com.ibm.websphere.samples.plantsbywebsphereejb.InventoryBean] [setEntityContext] [Average Execution Time:0.00003] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteInventory_53081ec0] [_WSCB_getInstanceInfo] [Average Execution Time:0.00003] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanAdaptorBinding_53081ec0] [-init-] [Average Execution Time:0.00031] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanAdaptorBinding_53081ec0] [getExtractor] [Average Execution Time:0.03337] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanExtractor_53081ec0] [-init-] [Average Execution Time:0.00012] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanAdaptorBinding_53081ec0] [getInjector] [Average Execution Time:0.02955] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanInjectorImpl_53081ec0] [-init-] [Average Execution Time:0.00005] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanAdaptorBinding_53081ec0] [createDataAccessSpecs] [Average Execution Time:0.05816] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanAdaptorBinding_53081ec0] [getExtractor] [Average Execution Time:0.00017] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanExtractor_53081ec0] [-init-] [Average Execution Time:0.00007] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanAdaptorBinding_53081ec0] [getExtractor] [Average Execution Time:0.00015] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanExtractor_53081ec0] [-init-] [Average Execution Time:0.00007] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.InventoryBeanAdaptorBinding_53081ec0] [getExtractor] [Average Execution Time:0.00015] 
