$$ Transaction 0 $$
[Average Response Time: 1.3671875] [Total:1]
[com.ibm.websphere.samples.plantsbywebspherewar.AccountServlet] [doPost] [Average Execution Time:1.36719] 
[com.ibm.websphere.samples.plantsbywebspherewar.AccountServlet] [performTask] [Average Execution Time:1.36719] 
[com.ibm.websphere.samples.plantsbywebsphereejb.Util] [debug] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb._LoginHome_Stub] [create] [Average Execution Time:0.0625] 
[com.ibm.websphere.samples.plantsbywebsphereejb._LoginHome_Stub] [class$] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessLoginHome_8dbe8965_Tie] [getTarget] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSRemoteStatelessLoginHome_8dbe8965] [create] [Average Execution Time:0.0625] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSStatelessLoginHomeBean_8dbe8965] [create] [Average Execution Time:0.05859] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSRemoteStatelessLogin_8dbe8965] [-init-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessLogin_8dbe8965_Tie] [-clinit-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessLogin_8dbe8965_Tie] [-init-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessLogin_8dbe8965_Tie] [thisObject] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessLogin_8dbe8965_Tie] [_ids] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb._Login_Stub] [-clinit-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb._Login_Stub] [-init-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessLogin_8dbe8965_Tie] [thisObject] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessLogin_8dbe8965_Tie] [thisObject] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessLogin_8dbe8965_Tie] [setTarget] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessLogin_8dbe8965_Tie] [_ids] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessLogin_8dbe8965_Tie] [thisObject] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessLogin_8dbe8965_Tie] [getTarget] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessLogin_8dbe8965_Tie] [_set_delegate] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessLogin_8dbe8965_Tie] [orb] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessLogin_8dbe8965_Tie] [thisObject] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb._Login_Stub] [verifyUserAndPassword] [Average Execution Time:1.27344] 
[com.ibm.websphere.samples.plantsbywebsphereejb._Login_Stub] [class$] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb._EJSRemoteStatelessLogin_8dbe8965_Tie] [getTarget] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSRemoteStatelessLogin_8dbe8965] [verifyUserAndPassword] [Average Execution Time:1.27344] 
[com.ibm.websphere.samples.plantsbywebsphereejb.LoginBean] [-init-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.LoginBean] [setSessionContext] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.LoginBean] [ejbCreate] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.LoginBean] [verifyUserAndPassword] [Average Execution Time:1.26172] 
[com.ibm.websphere.samples.plantsbywebsphereejb.Util] [getEJBLocalHome] [Average Execution Time:0.54688] 
[com.ibm.websphere.samples.plantsbywebsphereejb.Util] [getInitialContext] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [-init-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerBean] [-init-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [getNumberOfFields] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSCMPCustomerHomeBean_f03aa728] [-init-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSLocalCMPCustomerHome_f03aa728] [-init-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerKey] [-init-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSLocalCMPCustomerHome_f03aa728] [findByPrimaryKey] [Average Execution Time:0.71094] 
[com.ibm.websphere.samples.plantsbywebsphereejb.EJSCMPCustomerHomeBean_f03aa728] [findByPrimaryKey_Local] [Average Execution Time:0.69922] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerKey] [hashCode] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerKey] [hashCode] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [-init-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerBean] [-init-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [getNumberOfFields] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [setEntityContext] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.CustomerBean] [setEntityContext] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.ConcreteCustomer_f03aa728] [_WSCB_getInstanceInfo] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanAdaptorBinding_f03aa728] [-init-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanAdaptorBinding_f03aa728] [getExtractor] [Average Execution Time:0.02344] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanExtractor_f03aa728] [-init-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanAdaptorBinding_f03aa728] [getInjector] [Average Execution Time:0.02344] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanInjectorImpl_f03aa728] [-init-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanAdaptorBinding_f03aa728] [createDataAccessSpecs] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanAdaptorBinding_f03aa728] [getExtractor] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanExtractor_f03aa728] [-init-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanAdaptorBinding_f03aa728] [getExtractor] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanExtractor_f03aa728] [-init-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanAdaptorBinding_f03aa728] [getExtractor] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanExtractor_f03aa728] [-init-] [Average Execution Time:0] 
[com.ibm.websphere.samples.plantsbywebsphereejb.websphere_deploy.DERBY_V100_1.CustomerBeanAdaptorBinding_f03aa728] [getExtractor] [Average Execution Time:0] 
