$$ Transaction 0 $$
[Average Response Time: 3.022007942199707] [Total:1]
[com/ibm/websphere/samples/plantsbywebspherewar/ShoppingServlet] [doGet] [Average Execution Time:3.02201] 
[com/ibm/websphere/samples/plantsbywebspherewar/ShoppingServlet] [performTask] [Average Execution Time:3.02198] 
[com/ibm/websphere/samples/plantsbywebsphereejb/Util] [debug] [Average Execution Time:0.00014] 
[com/ibm/websphere/samples/plantsbywebsphereejb/_CatalogHome_Stub] [create] [Average Execution Time:0.0063] 
[com/ibm/websphere/samples/plantsbywebsphereejb/_EJSRemoteStatelessCatalogHome_751217f6_Tie] [getTarget] [Average Execution Time:0.0001] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSRemoteStatelessCatalogHome_751217f6] [create] [Average Execution Time:0.00124] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSStatelessCatalogHomeBean_751217f6] [create] [Average Execution Time:0.00039] 
[com/ibm/websphere/samples/plantsbywebsphereejb/_EJSRemoteStatelessCatalog_751217f6_Tie] [orb] [Average Execution Time:0.00016] 
[com/ibm/websphere/samples/plantsbywebsphereejb/_Catalog_Stub] [getItemsByCategory] [Average Execution Time:2.98473] 
[com/ibm/websphere/samples/plantsbywebsphereejb/_EJSRemoteStatelessCatalog_751217f6_Tie] [getTarget] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSRemoteStatelessCatalog_751217f6] [getItemsByCategory] [Average Execution Time:2.13997] 
[com/ibm/websphere/samples/plantsbywebsphereejb/CatalogBean] [getItemsByCategory] [Average Execution Time:2.1101] 
[com/ibm/websphere/samples/plantsbywebsphereejb/Util] [getEJBLocalHome] [Average Execution Time:0.00006] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventoryHome_53081ec0] [findByCategory] [Average Execution Time:0.21041] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSCMPInventoryHomeBean_53081ec0] [findByCategory_Local] [Average Execution Time:0.20874] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [ejbFindByCategory_Local] [Average Execution Time:0.20713] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getInjector] [Average Execution Time:0.00004] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanInjectorImpl_53081ec0] [ejbFindByCategory] [Average Execution Time:0.00018] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanFunctionSet_53081ec0] [execute] [Average Execution Time:0.18867] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanFunctionSet_53081ec0] [FindByCategory] [Average Execution Time:0.1885] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanExtractor_53081ec0] [extractPrimaryKey] [Average Execution Time:0.00018] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryKey] [-init-] [Average Execution Time:0.00003] 
