ClassName of AcceptChar	AutomatonToCode.81027.224448.pex\ncover_report.html	AutomatonToCode.81028.023513.pex\ncover_report.html	Diff:Col1-Col2 
1_1_20_10_26_2008_10_14_55_PM_165.cs	100	100	0
1_1_20_10_26_2008_10_14_59_PM_702.cs	0	0	0
1_1_20_10_26_2008_10_14_55_PM_167.cs	100	100	0
1_1_20_10_26_2008_10_14_59_PM_693.cs	0	0	0
1_1_20_10_26_2008_10_14_59_PM_694.cs	0	0	0
1_1_20_10_26_2008_10_14_59_PM_696.cs	0	0	0
1_1_20_10_26_2008_10_14_54_PM_67.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_217.cs	100	100	0
1_1_20_10_26_2008_10_14_53_PM_38.cs	100	100	0
1_1_20_10_26_2008_10_14_53_PM_34.cs	0	0	0
1_1_20_10_26_2008_10_14_56_PM_239.cs	100	100	0
1_1_20_10_26_2008_10_14_53_PM_43.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_230.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_231.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_232.cs	66.7	66.7	0
1_1_20_10_26_2008_10_14_56_PM_233.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_234.cs	66.7	66.7	0
1_1_20_10_26_2008_10_14_56_PM_235.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_236.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_237.cs	100	100	0
1_1_20_10_26_2008_10_14_59_PM_689.cs	0	0	0
1_1_20_10_26_2008_10_14_54_PM_76.cs	100	100	0
1_1_20_10_26_2008_10_14_54_PM_81.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_529.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_398.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_138.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_140.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_141.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_143.cs	100	100	0
1_1_20_10_26_2008_10_14_54_PM_63.cs	100	100	0
1_1_20_10_26_2008_10_14_54_PM_92.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_238.cs	100	100	0
1_1_20_10_26_2008_10_14_59_PM_672.cs	0	0	0
1_1_20_10_26_2008_10_14_54_PM_49.cs	100	100	0
1_1_20_10_26_2008_10_15_00_PM_769.cs	0	0	0
1_1_20_10_26_2008_10_15_00_PM_768.cs	0	0	0
1_1_20_10_26_2008_10_15_00_PM_764.cs	0	0	0
1_1_20_10_26_2008_10_15_00_PM_767.cs	0	0	0
1_1_20_10_26_2008_10_14_58_PM_503.cs	100	100	0
1_1_20_10_26_2008_10_15_00_PM_760.cs	0	0	0
1_1_20_10_26_2008_10_15_00_PM_763.cs	0	0	0
1_1_20_10_26_2008_10_14_58_PM_518.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_318.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_510.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_511.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_512.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_513.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_514.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_314.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_315.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_538.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_317.cs	100	100	0
1_1_20_10_26_2008_10_14_54_PM_47.cs	100	100	0
1_1_20_10_26_2008_10_14_59_PM_668.cs	0	0	0
1_1_20_10_26_2008_10_14_56_PM_260.cs	100	100	0
1_1_20_10_26_2008_10_14_56_PM_261.cs	100	100	0
1_1_20_10_26_2008_10_14_54_PM_61.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_530.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_531.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_532.cs	100	100	0
1_1_20_10_26_2008_10_14_59_PM_660.cs	0	0	0
1_1_20_10_26_2008_10_14_58_PM_534.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_420.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_536.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_183.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_423.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_424.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_425.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_440.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_441.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_442.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_443.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_444.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_445.cs	100	100	0
1_1_20_10_26_2008_10_14_57_PM_446.cs	100	100	0
1_1_20_10_26_2008_10_14_53_PM_17.cs	100	100	0
1_1_20_10_26_2008_10_14_53_PM_22.cs	100	100	0
1_1_20_10_26_2008_10_15_00_PM_766.cs	0	0	0
1_1_20_10_26_2008_10_15_00_PM_762.cs	0	0	0
1_1_20_10_26_2008_10_14_53_PM_36.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_152.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_153.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_157.cs	100	100	0
1_1_20_10_26_2008_10_14_58_PM_598.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_159.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_208.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_150.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_151.cs	100	100	0
1_1_20_10_26_2008_10_14_54_PM_69.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_199.cs	100	100	0
1_1_20_10_26_2008_10_14_55_PM_154.cs	100	100	0
